acropol	{7a326bdd-0e16-401c-b275-0330067879a4}
ag_acaciagroup01	{4e87a4f2-05bf-4b1c-9d40-8561a8ac4608}
ag_acaciatree01	{4a3c3de5-b5e3-4273-b596-ce9b8ace0ba4}
ag_acaciatree02	{99f9d4d1-12ca-4978-a531-dd3cb3a604fe}
ag_acaciatree03	{62947de8-eff2-4af9-afc3-6ca80b177a5d}
ag_barn	{6dc7e21e-4d73-4f0c-ac8d-4895a1992410}
ag_barn_2	{c12b53de-4ac9-46a1-a2b5-79c3d88f70f8}
ag_barn_3	{f214ae09-5de8-4ab1-bc22-5a3a210c7b75}
ag_barn_4	{682406ce-2e8b-48e8-833e-affad1df3ca2}
ag_baseball	{0bb07ff0-7fb0-4c88-acdf-106339ff59d3}
ag_billboard	{94e830d5-5ad0-47e7-8877-9743f1bd57f1}
ag_building_1	{e75256ee-38fc-49a9-9689-a5f81bc1d2c0}
ag_building_2	{c2d9acaa-b2c5-4a55-9880-9bfa8d5a3a2b}
ag_building_3	{034f8334-fede-427e-a025-59b140fada56}
ag_building_4	{b0573142-e40a-4120-82e0-a61f58cca6b2}
ag_building_5	{999b34c1-09cc-4172-a314-4a9371a8a8ff}
ag_building_6	{e2b7cd38-1e03-442d-982d-f1ebcdb98767}
ag_chemtank	{da302e05-6454-4f7a-8c6f-c5fc32a77174}
ag_closedstadium	{abecbcc1-9d8a-405c-9ec6-01d37b72ee13}
ag_cob_barn	{d74829dc-57ee-41da-95b4-6beeb860b54e}
ag_cob_house	{2703bda7-a685-4152-9f70-1cefe40bdcca}
ag_doublelight	{db86abde-51fd-4ab5-8470-a3c2d334a7f8}
ag_eurbank01	{35dee3bc-17f1-4421-afad-5e35260b9fcd}
ag_eurbuilding01	{fa7430ce-b1c3-4181-9ae8-3d4165d0de04}
ag_eurbuilding02	{71b1f01f-4344-4265-a953-a8d60457dd49}
ag_eurcondo01	{d1885931-9a91-4bcc-b7d8-ccba05085932}
ag_eurcondo02	{98b477ca-f733-4d0f-9c9e-993a574b28e8}
ag_eurcondo03	{1b066a17-801a-439d-80d8-322c3a61655d}
ag_eurcondo04	{dfeac635-9db9-4eb0-a951-a4fc54a87619}
ag_eurcondo05	{b8711525-7426-4f55-8941-d19059762d95}
ag_eurfactory01	{19ef938b-1313-444c-8dd9-24945d0e6d8e}
ag_eurfactory02	{89632a63-53d7-4c14-af81-ae7c5f5b8362}
ag_eurflatbrown01	{53376b16-7942-4410-b5fa-5ac59c684ba6}
ag_eurflatbrown02	{f1f7c2d9-6bb8-4311-9f58-d44cb20732a9}
ag_eurflatgreen01	{2c2eeb38-ef43-4f8f-91c6-03b6dbfac1e6}
ag_eurflatgreen02	{66e6bc62-9d7d-4f09-9bad-78a5bfce9c0e}
ag_eurflatgreen03	{6dafaaad-42df-4726-b1ac-96cd3d9d857d}
ag_eurflatgreen04	{6b5dde6f-97e5-4247-8302-70149e9d7ba4}
ag_eurgastank01	{3e760957-e5f4-4fdc-b765-e08b22c43948}
ag_eurhouse01	{ce97888c-454d-4988-a907-db39ab6db808}
